clk: 1, front_sensor: 0, left_sensor: 0, front: 1, turn: 0
clk: 1, front_sensor: 0, left_sensor: 0, front: 1, turn: 0
clk: 1, front_sensor: 1, left_sensor: 0, front: 0, turn: 1
clk: 1, front_sensor: 0, left_sensor: 0, front: 0, turn: 1
clk: 1, front_sensor: 0, left_sensor: 0, front: 0, turn: 1
clk: 1, front_sensor: 0, left_sensor: 1, front: 1, turn: 0
clk: 1, front_sensor: 0, left_sensor: 1, front: 1, turn: 0
clk: 1, front_sensor: 0, left_sensor: 1, front: 1, turn: 0
clk: 1, front_sensor: 0, left_sensor: 1, front: 1, turn: 0
clk: 1, front_sensor: 1, left_sensor: 1, front: 0, turn: 1
clk: 1, front_sensor: 1, left_sensor: 0, front: 0, turn: 1
clk: 1, front_sensor: 0, left_sensor: 0, front: 0, turn: 1
clk: 1, front_sensor: 0, left_sensor: 1, front: 1, turn: 0
clk: 1, front_sensor: 1, left_sensor: 0, front: 0, turn: 1
clk: 1, front_sensor: 0, left_sensor: 0, front: 1, turn: 0
clk: 1, front_sensor: 1, left_sensor: 1, front: 0, turn: 1
clk: 1, front_sensor: 1, left_sensor: 0, front: 0, turn: 1
clk: 1, front_sensor: 0, left_sensor: 0, front: 0, turn: 1
clk: 1, front_sensor: 0, left_sensor: 1, front: 1, turn: 0
clk: 1, front_sensor: 0, left_sensor: 1, front: 1, turn: 0
clk: 1, front_sensor: 0, left_sensor: 1, front: 1, turn: 0
